GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Practica7,main.java.es.ull.flights,Flight,0,67,0,4,0,18,0,8,0,6
Practica7,main.java.es.ull.passengers,Passenger,50,27,9,1,13,10,9,4,4,4
